Description,ID,Labeled?,Current-Location,DIY?,Category,Sub-category,Material,Style,Point-size,Dimensions,Typehigh,Upper-case,Lower-case,Punctuation,Numbers,Abnormal-pack-size,1-of-multiple-packs-exact-style-size,Multiple-per-char,Missing-chars,More-typefamily,Donator,Donation-notes,Notes,Block-print-file-in-directory,Block-photo-flipped,Print-photo,Tags
Pepsi bottles,awv-155,,AWV,,Not type,Illustration,Lead?,,,,✅ (?),,,,,,,,,,,,,Yes,,,Baking/cooking
Person in dress & person in cowboy attire awarding each other,awv-156,,AWV,,Not type,Illustration,Lead?,,,,✅ (?),,,,,,,,,,,,,Yes,,,LGBTQIA+
"""Don't""",awv-157,no,AWV,,Not type,Catchword or lone sort,Lead?,,,,✅ (?),,,,,,,,,,,,,Yes,,,Unusual catchword
"""Special"" (#1 of 2 with same word)",awv-158,no,AWV,,Not type,Catchword or lone sort,Copper?,,,,✅ (?),,,,,,,,,,,,"Brush caps italic, rough banner background",Yes,,,Enthusiast
"""Special"" (#2 of 2 with same word)",awv-200,no,AWV,,Not type,Catchword or lone sort,Copper?,,,,✅ (?),,,,,,,,,,,,Bordered,Yes,,,Enthusiast
"""Look""",awv-201,no,AWV,,Not type,Catchword or lone sort,Copper?,,,,✅ (?),,,,,,,,,,,,,Yes,,,Enthusiast
"""Enjoy Pepsi either way""",awv-154,no,AWV,,Not type,Mixed type/illustration,Lead?,,,,✅ (?),,,,,,,,,,,,,Yes,,,"Baking/cooking, LGBTQIA+"
Jaunty manicule #2,awv-001,yes,AWV,"Yes, AWV",Not type,Illustration,Wood (maple),,,,✅,,,,,,,,,,,,"Designed using image of historical jaunty manicule found online, and lasercut by Amanda Wyatt Visconti, 2/3/2025, using type-high maple. Note we also have a lead version of this same manicule in our collections.",Yes,,,Manicule-ish
"Walsh ""unicorn"" line drawing",awv-002,yes,AWV,"Yes, AWV",Not type,Illustration,Wood (maple),,,,✅,,,,,,,,,,,,"Designed and lasercut by Amanda Wyatt Visconti, 2/3/2025, using type-high maple",Yes,,,Animals
"""Benjamin Franklin's print shop""",awv-149,,AWV,,Not type,Mixed type/illustration,Lead?,,,,✅ (?),,,,,,,,,,,,,Yes,,,Printing/book history
Fish swimming with book in mouth,awv-150,,AWV,,Not type,Mixed type/illustration,Lead?,,,,✅ (?),,,,,,,,,,,,"Pairs well with awv-113/""'Ex Libris' person astride fish""",Yes,,,Animals
"""Poison"" skull & crossbones",awv-145,,AWV,,Not type,Mixed type/illustration,Lead?,,,"0.5""",✅ (?),,,,,,,,,,,,,Yes,,,Weird/funny
"""Sugar""/""Flour""/""Tea""/""Coffee""/""Cocoa""",awv-147,,AWV,,Not type,Catchword or lone sort,Lead?,,,"3"" wide x 5.25"" tall",✅ (?),,,,,,,,,,,,,Yes,,,Baking/cooking
"""The Spirit of America""",awv-148,,AWV,,Not type,Catchword or lone sort,Lead?,Horizontal striping,,"7 1/8"" wide x 3 1/8"" tall",✅,,,,,,,,,,,,,Yes,,,Unusual catchword
"Headless person holding head in hand (""St. Ciris"")",awv-146,,AWV,,Not type,Mixed type/illustration,Copper?,,,,✅ (?),,,,,,,,,,,,,Yes,,,Weird/funny
Human head cross-section,awv-142,,AWV,,Not type,Illustration,Lead?,,,,✅ (?),,,,,,,,,,,,,Yes,,,Humanities
"Large ""Z"" (solid)",awv-143,,AWV,,Not type,Catchword or lone sort,Wood,,,"~3.5"" tall x 2.5"" wide",✅ (?),,,,,,,,,,,,,Yes,,,Zines/ZB
"Large ""Z"" (outline)",awv-144,,AWV,,Not type,Catchword or lone sort,Wood,,,"~3.5"" tall x 2.5"" wide",✅ (?),,,,,,,,,,,,,Yes,,,Zines/ZB
"""Printed by a trans printer!"" manicule",awv-003,yes,AWV,"Yes, AWV",Not type,Mixed type/illustration,Wood (maple),,,,✅,,,,,,,,,,,,"Designed and lasercut by Amanda Wyatt Visconti, 2/3/2025, using type-high maple. Uses Erin Moore's ""Vision"" type on the word ""trans"", and a historical manicule image found online",Yes,,,"Manicule-ish, LGBTQIA+"
"Unnamed, wood sans serif #1",awv-004,yes,AWV,,Type,Wood type,Wood,Regular,TBD,"2"" tall",✅ (?),yes,no,1 period,no,no,no,no,no,no,,,"* 27 characters
",Yes,,,N/a
"Unnamed, wood sans serif #2",awv-005,yes,AWV,,Type,Wood type,Wood,Regular,TBD,"""0.55/0.71 inch""",✅ (?),no,yes,yes,no,no,no,yes,no,no,,,* 119 characters,Yes,,,N/a
"""Oven Fresh"" ribbon banner",awv-006,yes,AWV,,Not type,Mixed type/illustration,Copper?,,,"3"" wide x 1"" tall",✅ (?),,,,,,,,,,,,,Yes,,,Baking/cooking
"""From the oven"" with frame",awv-007,yes,AWV,,Not type,Mixed type/illustration,Lead,,,"8.5"" wide x 3"" tall",✅ (?),,,,,,,,,,,,,Yes,,,Baking/cooking
Toaster oven,awv-008,yes,AWV,,Not type,Illustration,Lead,,,"2"" wide x 1"" high",✅ (?),,,,,,,,,,,,,Yes,,,Baking/cooking
Sniffing hound,awv-009,yes,AWV,,Not type,Illustration,Lead,,,,✅ (?),,,,,,,,,,,,,Yes,,,"Dog, Animals"
"""AND""",awv-010,yes,AWV,,Not type,Catchword or lone sort,Lead,,,"1"" wide x 7/8"" tall",✅ (?),,,,,,,,,,,,,Yes,,,N/a
&,awv-011,yes,AWV,,Not type,Catchword or lone sort,Wood,,,"5/8"" wide x 1 11/16"" tall",✅,,,,,,,,,,,,,Yes,,,
Jaunty manicule #1,awv-012,yes,AWV,,Not type,Illustration,Lead,,,,✅ (?),,,,,,,,,,,,"Want to look up history/name of this particular cut, as I've seen it in multiple places so it must be one of those named ones",Yes,,,Manicule-ish
Jaunty exclamation mark,awv-013,yes,AWV,,Not type,Catchword or lone sort,Lead,,,,✅ (?),,,,,,,,,,,,,Yes,,,
2 loaves of bread,awv-014,yes,AWV,,Not type,Illustration,Lead?,,,,✅ (?),,,,,,,,,,,,,Yes,,,Baking/cooking
Tiny chef,awv-015,yes,AWV,,Not type,Illustration,Lead?,,,,✅ (?),,,,,,,,,,,,,Yes,,,"Baking/cooking, Enthusiast"
"""The Whopper Has a New Home""",awv-016,yes,AWV,,Not type,Catchword or lone sort,Lead?,,,,✅ (?),,,,,,,,,,,,How could I resist this.,Yes,,,"Weird/funny, Baking/cooking"
"""It's Great""",awv-017,yes,AWV,,Not type,Catchword or lone sort,Lead?,,,"~5"" wide x 0.5"" tall",✅ (?),,,,,,,,,,,,,Yes,,,Enthusiast
"""Original""",awv-018,no,AWV,,Not type,Catchword or lone sort,Lead?,,,"~4"" high x 0.5"" high",✅ (?),,,,,,,,,,,,,Yes,,,
Fancydog (long-legged Maple; dog) #2,awv-019,yes,AWV,"Yes, AWV",Not type,Illustration,Wood (maple),,,,✅,,,,,,,,,,,,"Designed and lasercut by Amanda Wyatt Visconti, 2/15/2025, using type-high maple. I cut the imagefrom craft foam with safety scissors, printed with a BookBeetle press in Fall 2024; resulting print digitized; lasercut into wood for further printing.",Yes,,,"Dog, Animals"
"""Made by a trans printer!"" catchword",awv-020,yes,AWV,"Yes, AWV",Not type,Catchword or lone sort,Wood (maple),,,,✅,,,,,,,,,,,,"Designed and lasercut by Amanda Wyatt Visconti, 2/15/2025, using type-high maple.",Yes,,"printed 2/2025, need to add here","Manicule-ish, LGBTQIA+"
"""Zine Bakery"" with zine icon",awv-021,yes,AWV,"Yes, AWV",Not type,Mixed type/illustration,Wood (maple),,,,✅,,,,,,,,,,,,"Designed and lasercut by Amanda Wyatt Visconti, 2/15/2025, using type-high maple.",Yes,,"printed 2/2025, need to add here",Baking/cooking
"Partial, unnamed, wood sans serif, #3",awv-022,yes,AWV,,Type,Wood type,Wood,Regular,TBD,"2.5"" tall",✅,no,yes,no,no,no,no,yes,yes,no,,,"* 30 characters
* Partial alphabet, with some characters in multiples
* Included characters are: aadcceffhllnnooorrstttuuvvvwwx",Yes,,,N/a
"Unnamed, wood serif, #1",awv-023,yes,AWV,,Type,Wood type,Wood,Regular,TBD,8 line,✅,yes,no,yes,no,no,no,yes,no,no,,,"* Seller label was ""Letterpress Hamilton Wood Type - 8 Line - N45""
* Includes multiple wood spaces, 2 '' smart-left, 2 ' smart-right, 1 comman, two dashes, two periods, exclamation mark, question mark, ampersand
* Alpha haracters: aaabbccddeeeeffgghhiiijjkklllmmnnnoooppqrrrsssstttuuuvvwwxyyz",Yes,,,N/a
"""BELL TELEPHONE"" with sound wave",awv-024,yes,AWV,,Not type,Mixed type/illustration,Lead,,,,✅ (?),,,,,,,,,,,,,Yes,,,Retro tech
"""A real American boy!"" with boy image",awv-025,yes,AWV,,Not type,Mixed type/illustration,,,,,✅ (?),,,,,,,,,,,,"Vibes: trans, androgynous, queer, FTM, FTN.",,,,LGBTQIA+
"""An Honorary Fellow of""",awv-026,yes,AWV,,Not type,Catchword or lone sort,,,,,✅ (?),,,,,,,,,,,,"Vibes: trans, gay, FTM.",,,,LGBTQIA+
"""AV"" monogram with long line",awv-027,yes,AWV,,Not type,Catchword or lone sort,Copper?,,,,✅ (?),,,,,,,,,,,,,,,,N/a
"""Camp"" in word bubble",awv-028,yes,AWV,,Not type,Mixed type/illustration,,,,,✅ (?),,,,,,,,,,,,,,,,LGBTQIA+
"""CAUTION""",awv-029,yes,AWV,,Not type,Mixed type/illustration,,,,,✅ (?),,,,,,,,,,,,,,,,N/a
"""Curses!"" man",awv-030,yes,AWV,,Not type,Mixed type/illustration,,,,,✅ (?),,,,,,,,,,,,,,,,Weird/funny
"""Different, yes—and how they like it!"" with bread",awv-031,yes,AWV,,Not type,Mixed type/illustration,,,,,✅ (?),,,,,,,,,,,,,,,,"Baking/cooking, Enthusiast"
"""Do you want bread of quality?"" man",awv-032,yes,AWV,,Not type,Mixed type/illustration,,,,,✅ (?),,,,,,,,,,,,,Yes,,"printed 2/24/2025, need to add here",Baking/cooking
"""DON'T MISS""",awv-033,yes,AWV,,Not type,Catchword or lone sort,,,,,✅ (?),,,,,,,,,,,,"Vibes: FTM, FTN, trans, agender, non-binary, anti-misgendering.",,,,LGBTQIA+
"""EXTRA"" on banner",awv-034,yes,AWV,,Not type,Catchword or lone sort,,,,,✅ (?),,,,,,,,,,,,,,,,Enthusiast
"""HEAVENLY"" two-color split catchword",awv-035,yes,AWV,,Not type,Catchword or lone sort,,,,,✅ (?),,,,,,,,,,,,,,,,"Unusual catchword, ""Mortised, split, etc."""
"""HERE'S YOUR""",awv-036,yes,AWV,,Not type,Catchword or lone sort,,,,,✅ (?),,,,,,,,,,,,,,,,
"""Here's the idea"" writing man",awv-098,yes,AWV,,Not type,Mixed type/illustration,Lead?,,,,✅ (?),,,,,,,,,,,,,Yes,Yes,,Weird/funny
"""I'm a meat man..."" etc.",awv-038,yes,AWV,,Not type,Mixed type/illustration,,,,,✅ (?),,,,,,,,,,,,,Yes,,,"LGBTQIA+, Weird/funny"
"""Let's get acquainted"" form with 2 prompt fields and 2 dogs sniffing each other",awv-039,yes,AWV,,Not type,Mixed type/illustration,,,,,✅ (?),,,,,,,,,,,,,Yes,,"printed 2/24/2025, need to add here","Dog, Animals, Weird/funny"
"""LITERARY""",awv-040,yes,AWV,,Not type,Catchword or lone sort,,,,,✅ (?),,,,,,,,,,,,,,,,Humanities
"""Markdown!""",awv-041,yes,AWV,,Not type,Catchword or lone sort,,,,,✅ (?),,,,,,,,,,,,"(listed as ""Vintage 1970's Suffolk VA"")",Yes,,,DH
"""nature's best"" (#1)",awv-042,yes,AWV,,Not type,Catchword or lone sort,,,,,✅ (?),,,,,,,,,,,,Vibes: trans. See also the other version of this catchword in our collections.,Yes,,,LGBTQIA+
"""nature's best"" (#2)",awv-043,yes,AWV,,Not type,Catchword or lone sort,,,,,✅ (?),,,,,,,,,,,,Vibes: trans. See also the other version of this catchword in our collections.,,,,LGBTQIA+
"""nearly everybody likes""",awv-044,yes,AWV,,Not type,Catchword or lone sort,,,,,✅ (?),,,,,,,,,,,,,,,,
"""Pink Frolic""",awv-045,yes,AWV,,Not type,Catchword or lone sort,,,,,✅ (?),,,,,,,,,,,,"Vibes: queer, subversive masculinity, subversive femininity.",Yes,,,LGBTQIA+
"""Hope"" Gothic diagonal",awv-105,yes,AWV,,Not type,Catchword or lone sort,Lead?,,,,✅ (?),,,,,,,,,,,,,Yes,Yes,,Unusual catchword
"""HOT ROLLS""",awv-037,yes,AWV,,Not type,Catchword or lone sort,,,,,✅ (?),,,,,,,,,,,,,,,,Baking/cooking
"""PRINTING""",awv-091,yes,AWV,,Not type,Catchword or lone sort,,,,,✅ (?),,,,,,,,,,,,,,,,Printing/book history
"""The way to look at it"" comic about ""persecuted peoples"", ""shucks he's not a burden he's my brother""",awv-049,yes,AWV,,Not type,Mixed type/illustration,,,,,✅ (?),,,,,,,,,,,,"(listed as ""Vintage 1970's Suffolk VA"")",Yes,,"printed 2/24/2025, need to add here","Humanities, Justice"
"""Way to go"" with thumbs up, repeated 5 times",awv-050,yes,AWV,,Not type,Mixed type/illustration,Lead?,,,,✅ (?),,,,,,,,,,,,,,,,Enthusiast
"""WE BEG TO ANNOUNCE"" with politely announcing man",awv-051,yes,AWV,,Not type,Illustration,,,,,✅ (?),,,,,,,,,,,,,,,,Manicule-ish
"""Your Choice""",awv-052,yes,AWV,,Not type,Catchword or lone sort,,,,,✅ (?),,,,,,,,,,,,,Yes,,,LGBTQIA+
Dachshund (long-haired; dog),awv-053,yes,AWV,,Not type,Illustration,,,,,✅ (?),,,,,,,,,,,,,,,,"Dog, Animals"
"""PROOF""",awv-046,yes,AWV,,Not type,Catchword or lone sort,,,,,✅ (?),,,,,,,,,,,,Vibes: trans.,,,,"Baking/cooking, Enthusiast"
2 cowboys riding horses,awv-055,yes,AWV,,Not type,Illustration,,,,,✅ (?),,,,,,,,,,,,,,,,"LGBTQIA+, Animals"
2 knights on a horse,awv-056,yes,AWV,,Not type,Illustration,,,,,✅ (?),,,,,,,,,,,,,Yes,,,"LGBTQIA+, Animals"
Queer buggy (2 men in carriage),awv-057,yes,AWV,,Not type,Illustration,Lead?,,,,✅ (?),,,,,,,,,,,,,Yes,,"printed 2/24/2025, need to add here","LGBTQIA+, Animals"
3 exclamation marks (loose/separate; same typeface/size),awv-058,yes,AWV,,Not type,Catchword or lone sort,Lead?,,,,✅ (?),,,,,,,,,,,,,Yes,,,Enthusiast
"""Remember when""",awv-093,yes,AWV,,Not type,Catchword or lone sort,,,,,✅ (?),,,,,,,,,,,,,,,,
Anatomy muscle chart,awv-060,yes,AWV,,Not type,Illustration,,,,,✅ (?),,,,,,,,,,,,,Yes,,,
Angry man under framed area,awv-061,yes,AWV,,Not type,Illustration,Copper,,,,✅,,,,,,,,,,,,"Angry(?) man with hair standing on end, fists and foot out as if throwing tantrum, under framed area (not mortised)",Yes,,"printed 2/24/2025, need to add here",Manicule-ish
Art deco corners,awv-062,yes,AWV,,Not type,Illustration,Lead?,,,,✅ (?),,,,,,,,,,,,,,,,Abstract
Blindfolded Justice with scales,awv-063,yes,AWV,,Not type,Illustration,Lead?,,,,✅ (?),,,,,,,,,,,,,,,,Justice
Border collie (dog),awv-064,yes,AWV,,Not type,Illustration,Lead,,,"2"" x 2""",✅ (?),,,,,,,,,,,,,,,,"Dog, Animals"
Burning candle,awv-065,yes,AWV,,Not type,Illustration,Lead?,,,"1.75"" wide x 5"" tall",✅ (?),,,,,,,,,,,,,,,,
Dragon/griffin,awv-066,yes,AWV,,Not type,Illustration,Lead,,,,✅ (?),,,,,,,,,,,,,,,,Animals
Fans & cheerleaders celebrating,awv-067,yes,AWV,,Not type,Illustration,,,,,✅ (?),,,,,,,,,,,,,,,,Enthusiast
Girl munching on slice of bread,awv-068,yes,AWV,,Not type,Illustration,,,,,✅ (?),,,,,,,,,,,,,,,,Baking/cooking
Greyhound #1,awv-069,yes,AWV,,Not type,Illustration,,,,,✅ (?),,,,,,,,,,,,,,,,"Dog, Animals"
Happy woman,awv-070,yes,Lost? (see notes),,Not type,Illustration,,,,,✅ (?),,,,,,,,,,,,Lost? (may have thrown out in shipping packaging of other cuts bc very small; or may be somewhere in AWV house),,,,Enthusiast
Historical person carrying tea tray,awv-071,yes,AWV,,Not type,Illustration,,,,,✅ (?),,,,,,,,,,,,"Vibes: trans, androgynous, queer, FTM, FTN.",Yes,,"printed 2/24/2025, need to add here","LGBTQIA+, Humanities, Baking/cooking"
Large clock dial face,awv-072,yes,AWV,,Not type,Illustration,,,,,✅ (?),,,,,,,,,,,,Missing one numeral (7?). Are all numerals removable?,Yes,,,Retro tech
Man jumping for joy,awv-073,yes,AWV,,Not type,Illustration,,,,,✅ (?),,,,,,,,,,,,,,,,Enthusiast
Androgynous saint with spear,awv-074,yes,AWV,,Not type,Illustration,Copper,,,"""~1.5"" x 1"" thick x 4.25"" tall""",✅ (?),,,,,,,,,,,,,Yes,,"printed 2/24/2025, need to add here","LGBTQIA+, Humanities"
Medieval woman holding basket,awv-075,yes,AWV,,Not type,Illustration,,,,,✅ (?),,,,,,,,,,,,Unclear if basket holds bread or something else.,Yes,,"printed 2/24/2025, need to add here","Humanities, Baking/cooking"
"""something special...""",awv-047,yes,AWV,,Not type,Catchword or lone sort,,,,,✅ (?),,,,,,,,,,,,,,,,Enthusiast
Fishfaced man holding frame below him,awv-077,yes,AWV,,Not type,Illustration,Copper,,,,✅,,,,,,,,,,,,"Man has round face, eyes, open mouth (fishy expression, not actually fish-looking) and is leaning out a window, holding a sign that hangs below him (non-mortised)",Yes,,"printed 2/24/2025, need to add here",Manicule-ish
Open trenchcoat seller (mortised!),awv-078,yes,AWV,,Not type,Illustration,Lead?,,,,✅ (?),,,,,,,,,,,,Has hole in center where other type can be fit (e.g. !!!) = mortised,Yes,,,"Manicule-ish, Weird/funny"
Person beating their chest,awv-079,yes,AWV,,Not type,Illustration,,,,,✅ (?),,,,,,,,,,,,"Vibes: FTM, FTN, trans, chest binding, top surgery.",,,,LGBTQIA+
Pouting baby (photorealistic),awv-080,yes,AWV,,Not type,Illustration,,,,,✅ (?),,,,,,,,,,,,,Yes,Yes,,Weird/funny
Printers' ruler (metal),awv-081,yes,AWV,,Not type,Tools,Steel,,,,,,,,,,,,,,,,,,,,Printing/book history
Rose on stem with leaves,awv-082,yes,AWV,,Not type,Catchword or lone sort,Lead?,,,,✅ (?),,,,,,,,,,,,For bread & roses prints,,,,Plant
"""the birth of a legend""",awv-048,yes,AWV,,Not type,Catchword or lone sort,,,,,✅ (?),,,,,,,,,,,,,,,,Enthusiast
"""Sic Semper Tyrannis"" (motto of the state of Virginia)",awv-084,yes,AWV,,Not type,Illustration,,,,"2"" diameter disc",❌,,,,,,,,,,,,Unfortunately fully clothed (i.e. not the official state version). Unmounted (blue tape + three reglets allowed printing on Vandercook).,,,,Justice
Single bracket,awv-085,yes,AWV,,Not type,Catchword or lone sort,Copper?,,,".5"" wide x 2"" tall",✅ (?),,,,,,,,,,,,,,,,
2 carytids,awv-054,yes,AWV,,Not type,Illustration,,,,,✅ (?),,,,,,,,,,,,,,,,"Humanities, Abstract"
